"biography length","real","fake"
0,5398,13489
10,938,719
20,1438,1326
30,1373,1016
40,1330,920
50,1140,762
60,1040,656
70,955,645
80,940,556
90,934,600
100,955,563
110,968,555
120,937,541
130,967,538
140,1137,591
150,1577,832
160,1417,772
170,997,487
180,573,268
190,283,121
200,154,54
210,89,50
220,80,38
230,54,33
240,53,38
250,41,27
260,37,22
270,32,26
280,25,12
290,17,13
300,12,4
310,9,7
320,6,10
330,12,5
340,6,4
350,4,1
360,2,5
370,4,0
380,3,1
390,2,0
400,2,0
410,1,0
420,1,1
430,3,1
440,2,0
450,2,0
470,1,0
