"number of followers","real","fake"
0,0,464
50,1637,2993
100,2247,3425
150,1863,2668
200,1616,1872
250,1395,1588
300,1297,1324
350,1193,1056
400,1050,966
450,980,810
500,931,689
550,791,608
600,729,520
650,667,483
700,611,477
750,545,454
800,497,402
850,482,383
900,456,308
950,405,369
1000,781,655
1100,705,562
1200,546,461
1300,477,412
1400,393,273
1500,328,267
1600,251,199
1700,241,193
1800,194,159
1900,175,122
2000,144,112
2100,131,88
2200,117,67
2300,121,65
2400,99,55
2500,78,44
2600,78,42
2700,72,35
2800,72,41
2900,61,31
3000,62,29
3100,50,22
3200,49,18
3300,51,21
3400,35,14
3500,38,14
3600,29,12
3700,29,9
3800,38,7
3900,29,13
4000,32,9
4100,27,8
4200,31,8
4300,19,5
4400,22,7
4500,18,10
4600,15,8
4700,15,5
4800,17,7
4900,10,8
5000,21,10
5100,14,8
5200,22,13
5300,14,4
5400,13,12
5500,16,9
5600,19,7
5700,12,4
5800,12,1
5900,14,2
6000,15,3
6100,11,7
6200,8,7
6300,8,7
6400,10,3
6500,9,6
6600,11,2
6700,7,0
6800,8,3
6900,5,5
7000,7,2
7100,15,2
7200,5,4
7300,11,5
7400,12,0
7500,3,4
7600,4,2
7700,10,1
7800,7,2
7900,6,2
8000,6,4
8100,3,3
8200,13,5
8300,5,2
8400,4,1
8500,7,2
8600,7,2
8700,4,4
8800,4,3
8900,6,3
9000,3,0
9100,8,2
9200,8,2
9300,8,2
9400,6,1
9500,9,0
9600,6,1
9700,4,2
9800,7,1
9900,9,1
10000,6,4
10100,14,1
10200,5,4
10300,5,4
10400,7,2
10500,1,3
10600,2,4
10700,1,5
10800,4,2
10900,5,1
11000,2,1
11100,4,1
11200,5,1
11300,5,0
11400,4,0
11500,6,5
11600,5,1
11700,7,2
11800,5,1
11900,1,1
12000,2,1
12100,7,4
12200,2,0
12300,1,0
12400,4,0
12500,5,0
12600,2,0
12700,3,1
12800,9,1
12900,0,1
13000,1,0
13100,4,0
13200,2,0
13300,2,2
13400,2,0
13500,0,1
13600,6,0
13700,4,1
13800,1,0
13900,5,0
14000,3,0
14100,7,0
14300,1,2
14400,3,1
14500,3,0
14600,3,1
14700,1,2
14800,2,1
14900,4,2
15000,3,0
15100,1,1
15200,2,2
15300,1,1
15400,2,1
15500,1,0
15600,0,1
15700,2,0
15800,3,1
15900,2,2
16000,1,1
16100,4,0
16200,1,1
16300,0,2
16400,2,1
16500,0,1
16700,1,0
16800,2,0
16900,1,1
17000,1,0
17100,0,1
17200,1,1
17300,1,0
17400,1,2
17500,4,3
17900,1,0
18000,4,0
18100,1,1
18200,2,0
18300,3,2
18500,0,2
18600,2,0
18700,2,0
18800,1,0
18900,3,0
19000,1,0
19100,2,2
19300,1,0
19500,1,0
19600,2,1
19700,2,1
19800,1,1
19900,1,2
20000,1,0
20100,0,1
20200,1,0
20300,1,1
20400,2,1
20500,3,0
20600,2,0
20700,0,3
20800,0,1
20900,3,1
21400,1,0
21600,0,1
21700,2,0
21800,0,1
21900,3,0
22000,1,0
22100,1,0
22200,1,0
22300,2,0
22400,1,1
22500,0,1
22600,1,0
22700,2,0
22900,2,0
23100,2,0
23200,1,0
23500,1,0
23700,1,1
23900,2,0
24000,0,1
24100,1,0
24200,1,0
24600,1,0
24700,1,0
24900,1,1
25300,1,0
25600,0,1
25700,2,0
25900,1,0
26000,1,0
26100,1,0
26700,1,1
26800,0,1
26900,1,0
27400,1,0
27500,1,0
28200,1,1
28800,1,0
29500,1,1
29600,0,2
29900,1,0
30000,0,1
30100,1,0
30300,2,0
30400,1,0
30600,1,0
30900,1,0
31000,1,0
31100,0,1
31500,1,0
31600,1,0
31800,1,0
31900,1,0
32000,1,0
32100,0,1
32200,1,1
32300,2,0
32400,1,0
32500,0,1
32600,1,1
32800,1,0
33100,1,0
33200,1,1
33300,1,1
33500,1,0
33700,1,0
34300,0,1
34500,1,0
34800,0,1
34900,1,0
35200,1,0
35900,1,0
36800,1,0
36900,1,0
37000,1,0
37400,1,0
37600,1,0
38000,1,1
38200,2,0
39000,0,1
39500,1,0
39700,1,0
40300,0,1
40600,1,0
40800,1,0
41000,0,1
41100,1,0
41300,1,0
41900,1,0
42200,2,0
42400,1,0
43100,1,0
44000,1,0
44100,1,0
44300,1,0
45300,0,1
45600,0,1
46500,1,0
47200,1,0
47500,2,0
49000,1,0
50100,1,0
50400,1,0
50500,1,0
50700,1,0
51500,1,0
51800,1,0
53600,1,0
55000,1,0
55500,1,0
56300,1,0
57200,0,1
58300,0,1
58800,1,0
59200,0,1
59800,1,0
61000,0,1
62100,1,0
64800,0,1
64900,2,0
65300,1,0
65700,1,0
68000,1,0
68700,1,0
69200,1,0
69400,1,0
69800,1,0
70500,1,0
72300,1,0
73200,1,0
73400,1,0
74100,0,1
76500,0,1
77500,0,1
78700,1,0
79600,0,1
84800,1,0
85200,1,0
85300,1,0
86500,0,1
92000,1,0
93100,0,1
101400,1,0
102600,1,0
102800,0,1
103800,1,0
104300,0,1
106400,1,0
112100,0,1
113400,1,0
113800,1,0
116400,1,0
118100,1,0
121300,1,0
131700,1,0
132600,1,0
132900,1,0
155500,1,0
161600,0,1
172400,1,0
177100,1,0
195900,1,0
203600,1,0
229500,1,0
234300,0,1
244500,1,0
255400,1,0
273000,1,0
275300,1,0
313900,1,0
326700,1,0
330900,1,0
377400,1,0
379700,1,0
473400,1,0
706500,0,1
730700,1,0
855100,0,1
1900000,1,0
2400000,1,0
3900000,1,0
