"number of following","real","fake"
0,0,210
50,1155,316
100,1191,660
150,1090,570
200,1169,827
250,1043,534
300,1026,527
350,950,449
400,1013,457
450,976,420
500,945,412
550,911,447
600,828,439
650,758,390
700,741,359
750,675,375
800,652,358
850,506,284
900,559,326
950,499,308
1000,879,572
1100,638,504
1200,568,451
1300,483,436
1400,408,378
1500,334,411
1600,324,371
1700,292,365
1800,300,322
1900,233,268
2000,234,256
2100,213,243
2200,209,242
2300,175,214
2400,169,199
2500,157,207
2600,119,186
2700,150,158
2800,102,173
2900,107,171
3000,117,157
3100,103,144
3200,104,145
3300,79,135
3400,91,104
3500,84,133
3600,83,125
3700,79,113
3800,82,116
3900,69,107
4000,72,101
4100,52,114
4200,55,93
4300,58,99
4400,64,93
4500,63,93
4600,61,94
4700,52,82
4800,56,91
4900,51,94
5000,53,91
5100,46,78
5200,55,82
5300,47,68
5400,32,78
5500,47,84
5600,33,70
5700,56,85
5800,42,72
5900,47,90
6000,50,94
6100,27,105
6200,52,140
6300,43,151
6400,40,368
6500,51,215
6600,54,182
6700,46,186
6800,45,252
6900,68,310
7000,61,415
7100,83,314
7200,72,585
7300,81,1649
7400,105,2097
7500,347,1408
7600,8,9
7700,2,2
7800,0,1
8300,1,0
8800,1,0
