"number of posts","real","fake"
0,0,4038
50,14233,12824
100,3575,2759
150,1799,1479
200,1296,942
250,870,681
300,600,464
350,454,447
400,374,336
450,338,243
500,260,199
550,221,196
600,186,152
650,141,141
700,128,115
750,108,110
800,103,98
850,102,82
900,79,64
950,65,53
1000,119,119
1100,81,109
1200,96,75
1300,66,61
1400,68,45
1500,59,44
1600,36,33
1700,44,38
1800,37,28
1900,29,41
2000,36,30
2100,35,21
2200,21,23
2300,22,15
2400,12,13
2500,15,15
2600,21,8
2700,16,13
2800,19,13
2900,8,10
3000,9,5
3100,6,6
3200,10,10
3300,8,7
3400,8,6
3500,8,2
3600,6,6
3700,9,6
3800,6,6
3900,1,4
4000,4,2
4100,6,4
4200,4,2
4300,3,1
4400,3,1
4500,7,3
4600,4,2
4700,4,3
4800,3,0
4900,2,2
5000,2,2
5100,1,1
5200,5,1
5300,1,2
5400,4,1
5500,1,2
5600,5,1
5700,3,1
5800,1,1
5900,1,2
6000,0,1
6100,2,1
6200,2,1
6300,3,1
6400,1,0
6500,3,1
6600,1,1
6700,2,1
6800,1,1
6900,0,1
7000,0,1
7100,2,0
7200,1,0
7300,0,1
7500,0,2
7700,0,2
7800,3,0
8300,0,1
8400,1,0
8500,2,0
8600,0,1
8700,0,1
8800,0,1
9300,1,0
9600,1,0
9700,0,1
9800,0,1
9900,0,1
10300,0,1
10500,2,0
10600,2,0
10800,2,1
10900,0,1
11000,0,1
11300,0,1
11400,1,0
12100,1,0
12300,0,1
12500,0,1
12700,1,0
12900,1,0
13100,0,1
13200,1,0
13500,0,1
13800,0,1
13900,0,1
14100,0,1
15200,1,0
15300,0,1
15800,1,0
16100,0,1
16200,1,0
16500,0,1
23100,1,0
23800,1,0
24200,0,1
26000,0,1
28100,1,0
30200,1,0
76200,0,1
