"Post interval","real","fake"
0,2010,6475
100,5428,6853
200,3184,3110
300,2335,1943
400,1905,1414
500,1609,1156
600,1256,916
700,1062,720
800,913,554
900,753,456
1000,642,379
1100,593,322
1200,495,281
1300,410,206
1400,332,169
1500,306,138
1600,257,110
1700,200,101
1800,194,84
1900,190,72
2000,161,69
2100,129,57
2200,124,59
2300,120,59
2400,104,41
2500,80,42
2600,69,39
2700,78,26
2800,72,25
2900,63,29
3000,50,34
3100,60,20
3200,36,24
3300,47,18
3400,43,17
3500,40,16
3600,37,9
3700,37,14
3800,21,7
3900,39,9
4000,11,21
4100,17,12
4200,22,9
4300,19,10
4400,20,12
4500,25,12
4600,17,18
4700,11,6
4800,16,7
4900,12,9
5000,11,7
5100,15,5
5200,10,7
5300,12,7
5400,13,5
5500,8,1
5600,11,1
5700,8,6
5800,4,7
5900,5,3
6000,6,5
6100,7,2
6200,9,3
6300,4,0
6400,7,2
6500,5,2
6600,8,4
6700,5,3
6800,5,1
6900,9,4
7000,8,2
7100,5,1
7200,6,2
7300,10,1
7400,8,2
7500,6,2
7600,1,1
7700,2,1
7800,3,2
7900,2,2
8000,8,0
8100,1,1
8200,1,1
8300,2,1
8400,2,1
8500,1,0
8600,0,1
8700,5,3
8800,1,3
8900,7,1
9000,4,0
9100,1,1
9200,1,1
9300,2,0
9400,2,1
9500,1,1
9600,1,0
9700,1,1
9800,1,1
9900,2,1
10000,0,2
10100,3,1
10200,1,0
10300,2,0
10400,1,0
10500,1,0
10600,1,0
10700,1,0
10800,3,0
10900,2,1
11000,1,0
11100,1,0
11200,1,0
11400,0,2
11600,1,0
11700,1,0
12100,0,1
12200,1,0
12300,0,1
12400,1,1
12500,0,1
13100,2,0
13200,1,0
13500,1,0
13700,1,0
13800,3,0
15400,1,0
15600,1,0
15800,1,0
16000,2,0
17100,1,0
17500,1,0
18000,1,0
18400,1,0
25700,1,0
